name,href,price,support,deal_cnt
"京品电脑	
惠普HP暗影精灵8台式电脑游戏台式机主机侧透12代i7-12700FRTX30708G独显16G512G+1T全面版",https://item.jd.com/100034170578.html,9699.00,是,50000.0
亚当贝尔英特尔酷睿i7/独显/16G家用办公电竞游戏吃鸡设计师炒股组装台式电脑主机整机全套主机+27英寸电竞显示器配置四：酷睿i7/GTX1660S6G/16G,https://item.jd.com/10037070161518.html,3999.00,否,20000.0
机械师（MACHENIKE）T90-T设计师游戏台式电脑电竞主机（i5-1240016G512GSSDGT10304G显存三年上门）,https://item.jd.com/100027699835.html,3699.00,是,2000
航向者酷睿i5升i7/GTX1660S/2060S家用电竞游戏办公企业台式电脑主机DIY组装机全套套三酷睿i5丨16G丨5808G独显,https://item.jd.com/10049072649550.html,1469.00,否,41.0
"拍拍	
英特尔i9升八核主机GTX1070独显直播吃鸡游戏电脑办公整机DIY组装二手台式机全套一：酷睿i5（千元游戏办公全套）全套99新",https://item.jd.com/44108328240.html,1099.00,否,20000.0
联想Lenovo扬天商用办公电脑整机台式机家用台机M4000q锐龙R58G512G,https://item.jd.com/10057853041066.html,3299.00,否,64.0
"拍拍	
苹果（Apple）imac二手苹果一体机主机21.5/27英寸超薄办公设计家用娱乐游戏台式机电脑95新主推丨508-8G/256G固态21.5英寸",https://item.jd.com/10026332566185.html,2069.00,否,10000.0
联想(Lenovo)天逸510S英特尔酷睿i3个人商务台式机电脑整机(12代i3-121008G1THDDwin11)21.45英寸,https://item.jd.com/100019676411.html,3199.00,是,100000.0
"爱心东东	
天钡MN37AMD锐龙R7台式机电脑迷你游戏小主机4K三显工控天宝家用办公超微型桌面迷你pcR7-3750H/DIY版【无硬盘无内存】",https://item.jd.com/67655511726.html,1498.00,否,500
联想(Lenovo)天逸510S英特尔酷睿i5个人商务台式机电脑整机(12代i5-1240016G512GSSDwin11)23英寸,https://item.jd.com/100039568404.html,4199.00,是,100000.0
康佳（KONKA）电脑个人商用办公台式机电脑主机（11代4核N50958G256GSSD）,https://item.jd.com/100032989929.html,898.00,是,500
攀升（IPASON）商逸台式机12代酷睿i5商用办公设计家用游戏台式电脑主机整机【2022款】酷睿i5-1240016G512(NVme),https://item.jd.com/10058592166008.html,2699.00,是,500
宁美国度龙魂i512400F/RTX3050/3060/Ti台式机组装电脑主机游戏台式电脑整机i512400F+GTX1660S16G/500G,https://item.jd.com/10048194196594.html,5088.00,否,20000.0
七彩虹（Colorful）i512400F/12490FRTX3060/Ti台式组装电脑主机配置一：i512400/核显/8G/256G,https://item.jd.com/10059523896827.html,2599.00,否,27.0
攀升商悦设计师办公商用台式电脑整机（i7-12700F16G512G+2T4G独显WiFi63年上门）单主机diy组装机全套,https://item.jd.com/100028382333.html,5499.00,是,20000.0
台式电脑英特尔i5i7八核独显GTX1070游戏吃鸡家用办公设计组装二手台式机套餐二【酷睿i7/16G/240G/独显/24寸】全套99成新,https://item.jd.com/10050885856405.html,2199.00,否,500
航向者英特尔i5酷睿i7升八核/GTX16606G吃鸡台式电脑主机DIY组装整机全套游戏企业办公电脑主机+显示器套四intel八核丨16G丨7404G独显,https://item.jd.com/11930425330.html,1698.00,否,100000.0
航向者英特尔i5酷睿i7升八核/GTX16606G吃鸡台式电脑主机DIY组装整机全套游戏企业办公电脑主机+显示器套三intel六核丨16G丨4G游戏独显,https://item.jd.com/11930425327.html,1498.00,否,100000.0
航向者英特尔i5酷睿i7升八核/GTX16606G吃鸡台式电脑主机DIY组装整机全套游戏企业办公电脑主机+显示器套六intel八核丨16G丨1660S6G独显,https://item.jd.com/10040737626152.html,2198.00,否,100000.0
七彩虹（Colorful）iGameSigmaM380II赤刃2水冷游戏台式电脑主机（12代i5-1240016G500GnvmeRTX3050）,https://item.jd.com/100021039597.html,5599.00,是,5000
"爱心东东	
英特尔酷睿i7-11800八核RTX2060S独显卡电竞游戏家用办公设计渲染领睿台式主机组装电脑全套单主机套餐一酷睿i5六核/8G内存/256G硬盘",https://item.jd.com/10055262902617.html,2499.00,否,200
神舟(HASEE)新锐T30B一体机台式电脑23.8黑色（Intel四核J3710win78G256GWIFI键鼠）,https://item.jd.com/100011916673.html,1488.00,是,500
联想(Lenovo)天逸510Pro个人商务台式机电脑整机(12代i7-12700F16G1T+256GMAX100独显)23英寸,https://item.jd.com/100033293837.html,7099.00,是,20000.0
"京品电脑	
联想(Lenovo)天逸510S个人商务台式机电脑整机(12代i5-12400 16G1T+256GSSDwifiwin11)单主机",https://item.jd.com/100031315632.html,3799.00,是,50000.0
京天DuelD536i5-12400F/RTX306012G/16G/500G/B660/3年上门台式吃鸡游戏组装电脑整机DIY主机UPC,https://item.jd.com/100031821874.html,6199.00,是,20000.0
绿蛇英特尔i3/i5酷睿i7升四核/R7350/LOL台式电脑主机DIY组装机游戏企业办公设计套餐一,https://item.jd.com/10044189431884.html,599.00,否,500
酷耶（Cooyes）八核游戏16G台式机电脑主机整机全套组装家用电竞企业办公套餐一(i5四核+GT730独显)+显示器,https://item.jd.com/12784088653.html,2198.00,否,100000.0
鑫锐i712700/i9/RTX3060/70吃鸡游戏电竞直播水冷台式DIY组装电脑主机全套套七-十一代i9-RTX3070丨32G丨27寸,https://item.jd.com/10038480152963.html,6699.00,否,20000.0
航向者i510400F/八核/GTX1660S6G电竞游戏吃鸡办公台式电脑主机DIY组装机全套,https://item.jd.com/10162122906.html,1999.00,否,2000
宁美国度龙魂i512400F/RTX3050/3060/Ti台式机组装电脑主机游戏台式电脑整机i510400F+GTX1660S16G/500G,https://item.jd.com/17355053604.html,4188.00,否,20000.0
武极武神A1AMD锐龙55600电竞游戏台式组装电脑主机整机DIY组装机配置四：R55600+RTX3060推荐主机,https://item.jd.com/10051902133342.html,5168.00,否,1000
ROG光魔G15AMD锐龙R7神光同步+侧透电竞游戏台式机电脑主机黑色R7-5800XRTX306016GB1TBSSD+1TBHDD,https://item.jd.com/10044048593448.html,8799.00,否,100
铭能XS2180电竞吃鸡游戏设计光追独显台式电脑主机整机(英特尔酷睿i7+RTX2060S8G独显+16G+256G固态),https://item.jd.com/100043293191.html,2799.00,是,0.0
华硕（ASUS）DIY整机i512400F/GTX1660S台式机27英寸显示器游戏组装电脑主机一【i510400F+RX5504G】单主机,https://item.jd.com/10049801148720.html,3099.00,否,100
机械师（MACHENIKE）未来战舰II代游戏台式机电脑电竞设计主机（12代i5-1240016G512GSSDRTX3050Win11）,https://item.jd.com/100032917936.html,5698.00,是,2000
攀升（IPASON）战神酷睿i5/16G设计电竞游戏台式电脑主机整机NVMe固态【2022款】十代i5GTX165016G512G,https://item.jd.com/10059988794164.html,3399.00,是,1000
机械师（MACHENIKE）创物者MII代设计主机商用办公台式机电脑（12代i5-1240016G512GSSDGT7304G独显）,https://item.jd.com/100017648291.html,3499.99,是,5000
航向者i512400F/RTX2060/3060Ti永劫无间吃鸡游戏台式电脑主机DIY组装机全套套二加强款：512G固态丨16G丨1660S6G,https://item.jd.com/13307356724.html,2399.00,否,20000.0
华硕（ASUS）DIY整机12代i3/i512400办公游戏台式机主机家用网课商务组装全套电脑配置五(i512400+16G+512G)主机+23.8英寸显示器,https://item.jd.com/10055829262095.html,3699.00,否,500
戴尔（DELL）成就3681台式机办公电脑迷你主机全套整机商用家用小机箱3710同款G64058G256G固态+21.5英寸显示器定制带键盘鼠标,https://item.jd.com/10044101207358.html,2749.00,否,2000
"爱心东东	
狄派酷睿i9升十核/16G内存/1660S独显/台式机电脑主机整机全套组装家用电竞企业办公电脑主机+27英寸显示器配置二:十核丨512G丨GTX1660S独显",https://item.jd.com/10061289974041.html,3298.00,否,5000
酷耶（Cooyes）八核游戏16G台式机电脑主机整机全套组装家用电竞企业办公套餐二(十核+GTX1650)+显示器,https://item.jd.com/17651966214.html,2798.00,否,100000.0
雷神(ThundeRobot)黑武士5Shark水冷游戏台式电脑电竞主机(13代i7-13700K32GRTX40801TSSD+4T360水冷),https://item.jd.com/100046621123.html,22998.00,是,20000.0
宏碁(Acer)设计师游戏旗舰办公台式机电脑单主机(i5-11400F16G512GGTX1660S-6G独显冷排散热)定制,https://item.jd.com/100022546095.html,4499.00,是,1000
联想（Lenovo）来酷LecooAIO一体机办公家用商用台式机电脑23.8英寸全高清屏赛扬J41258G256G固态无线键鼠,https://item.jd.com/71824509564.html,1899.00,是,10000.0
鑫锐i712700/i9/RTX3060/70吃鸡游戏电竞直播水冷台式DIY组装电脑主机全套套七-十一代i9-RTX3070丨32G丨27寸,https://item.jd.com/10038480152963.html,6699.00,否,20000.0
M01台式电脑家用迷你十二代英特尔酷睿i3/i5/i7主机商用家用办公台式全套电脑主机【单主机】企业采购（含原装键盘鼠标）【黑色钜惠款】G5905/4G/1T,https://item.jd.com/10049230205873.html,2009.00,否,200
紫客酷睿/独立显卡上网课LOL/CF直播主播家用模拟器多开办公组装吃鸡游戏台式电脑主机全套【推荐吃鸡】i9级十核/512G/4G独显+24曲,https://item.jd.com/65261474046.html,2799.00,否,10000.0
宏硕（hongshuo）英特尔16G内存/独立显卡/台式机电脑主机家用游戏办公组装电脑整机全套套餐三酷睿i7丨16G丨512G丨1660S6G,https://item.jd.com/60090120653.html,2480.00,否,50000.0
航天七0六天熠TR11A2商用办公台式机电脑主机（龙芯3A5000/8GB/256G/1G独显/200W/23.8英寸）,https://item.jd.com/100033717093.html,6200.00,是,0.0
邪手MOD水冷i712700KF/3090/3080TiROG游戏台式电脑主机/DIY组装机配置升级包,https://item.jd.com/10064852800788.html,100.00,否,200
联想（Lenovo）扬天W4900os（M4000o升级款）【可改win7】商用办公财务税控电脑整机主机+23.8英寸高清显示器标配：i5-104008G内存1T机械,https://item.jd.com/10058596015588.html,3999.00,否,1000
华硕（ASUS）12代i5-12400Fdiy电竞游戏设计台式电脑主机高配家用直播整机12400F/RTX3060/500GSSD,https://item.jd.com/10047943143826.html,7099.00,否,2000
京天StrikeS46i5-12490F/RTX30508G/16GDDR4/500GNVMe台式吃鸡组装电脑电竞游戏主机UPC,https://item.jd.com/100017372402.html,5499.00,是,20000.0
